season,episode,episode_name,writer
6,2,The Meeting,Aaron Shure
6,3,The Promotion,Jennifer Celotta
6,6,Mafia,Brent Forrester
6,9,Double Date,Charlie Grandy
6,10,Murder,Daniel Chun
6,11,Shareholder Meeting,Justin Spitzer
6,13,Secret Santa,Mindy Kaling
6,14,The Banker,Jason Kessler
6,15,Sabre,Jennifer Celotta
6,16,The Manager and the Salesman,Mindy Kaling
6,19,St. Patrick's Day,Jonathan Huges
6,20,New Leads,Brent Forrester
6,21,Happy Hour,B.J. Novak
6,22,Secretary's Day,Mindy Kaling
6,23,Body Language,Justin Spitzer
6,25,The Chump,Aaron Shure
7,1,Nepotism,Daniel Chun
7,2,Counseling,B.J. Novak
7,3,Andy's Play,Charlie Grandy
7,4,s*x Ed,Paul Lieberstein
7,5,The Sting,Mindy Kaling
7,6,Costume Contest,Justin Spitzer
7,7,Christening,Peter Ocko
7,8,Viewing Party,Jon Vitti
7,9,WUPHF.com,Aaron Shure
7,11,Classy Christmas (Parts 1&2),Mindy Kaling
7,13,Ultimatum,Carrie Kemper
7,14,The Seminar,Steve Hely
7,15,The Search,Brent Forrester
7,16,PDA,Robert Padnick
7,17,Threat Level Midnight,B.J. Novak
7,18,Todd Packer,Amelie Gillette
7,19,Garage Sale,Jon Vitti
7,20,Training Day,Daniel Chun
7,21,Michael's Last Dundies,Mindy Kaling
7,22,"Goodbye, Michael",Greg Daniels
7,23,The Inner Circle,Charlie Grandy
7,24,"Dwight K. Schrute, (Acting) Manager",Justin Spitzer
7,25,Search Committee (Parts 1&2),Paul Lieberstein
8,1,The List,B.J. Novak
8,2,The Incentive,Paul Lieberstein
8,3,Lotto,Charlie Grandy
8,4,Garden Party,Justin Spitzer
8,5,Spooked,Carrie Kemper
8,6,Doomsday,Daniel Chun
8,7,Pam's Replacement,Allison Silverman
8,8,Gettysburg,Robert Padnick
8,9,Mrs. California,Dan Greaney
8,10,Christmas Wishes,Mindy Kaling
8,11,Trivia,Steve Hely
8,12,Pool Party,Owen Ellickson
8,13,Jury Duty,Aaron Shure
8,14,Special Project,Amelie Gillette
8,15,Tallahassee,Daniel Chun
8,17,Test The Store,Mindy Kaling
8,18,Last Day In Florida,Robert Padnick
8,19,Get The Girl,Charlie Grandy
8,20,Welcome Party,Steve Hely
8,21,Angry Andy,Justin Spitzer
8,22,Fundraiser,Owen Ellickson
8,24,Free Family Portrait Studio,B.J. Novak
9,1,The New Guys,Greg Daniels
9,2,Roy's Wedding,Allison Silverman
9,4,Work Bus,Brent Forrester
9,5,Here Comes Treble,Owen Ellickson
9,6,The Boat,Dan Sterling
9,7,The Whale,Carrie Kemper
9,8,The Target,Graham Wagner
9,9,Dwight Christmas,Robert Padnick
9,10,Lice,Nicki Schwartz-Wright
9,11,Suit Warehouse,Dan Greaney
9,13,Junior Salesman,Carrie Kemper
9,14,Vandalism,Owen Ellickson
9,15,Couples Discount,Allison Silverman
9,16,Moving On,Graham Wagner
9,17,The Farm,Paul Lieberstein
9,18,Promos,Tim McAuliffe
9,19,Stairmageddon,Dan Sterling
9,21,Livin' the Dream,Nicki Schwartz-Wright
9,22,A.A.R.M,Brent Forrester
9,24,Finale,Greg Daniels
2,6,The Fight,Gene Stupnitsky
2,6,The Fight,Lee Eisenberg
2,13,The Secret,Lee Eisenberg
2,13,The Secret,Gene Stupnitsky
2,19,Michael's Birthday,Gene Stupnitsky
2,19,Michael's Birthday,Lee Eisenberg
3,2,The Convention,Lee Eisenberg
3,2,The Convention,Gene Stupnitsky
3,9,The Convict,Ricky Gervais
3,9,The Convict,Stephen Merchant
3,21,Product Recall,Brent Forrester
3,21,Product Recall,Justin Spitzer
3,22,Women's Appreciation,Gene Stupnitsky
3,22,Women's Appreciation,Lee Eisenberg
3,23,Beach Games,Jennifer Celotta
3,23,Beach Games,Greg Daniels
3,24,The Job (Parts 1&2),Paul Lieberstein
3,24,The Job (Parts 1&2),Michael Schur
4,13,Dinner Party,Gene Stupnitsky
4,13,Dinner Party,Lee Eisenberg
4,16,Did I Stutter?,Brent Forrester
4,16,Did I Stutter?,Justin Spitzer
4,17,Job Fair,Lee Eisenberg
4,17,Job Fair,Gene Stupnitsky
4,18,"Goodbye, Toby (Parts 1&2)",Jennifer Celotta
4,18,"Goodbye, Toby (Parts 1&2)",Paul Lieberstein
5,1,Weight Loss (Parts 1&2),Lee Eisenberg
5,1,Weight Loss (Parts 1&2),Gene Stupnitsky
5,10,The Surplus,Gene Stupnitsky
5,10,The Surplus,Lee Eisenberg
5,20,New Boss,Lee Eisenberg
5,20,New Boss,Gene Stupnitsky
5,27,Cafe Disco,Warren Lieberstein
5,27,Cafe Disco,Halsted Sullivan
5,28,Company Picnic,Jennifer Celotta
5,28,Company Picnic,Paul Lieberstein
6,4,Niagara (Parts 1&2),Greg Daniels
6,4,Niagara (Parts 1&2),Mindy Kaling
6,7,The Lover,Lee Eisenberg
6,7,The Lover,Gene Stupnitsky
6,8,Koi Pond,Warren Lieberstein
6,8,Koi Pond,Halsted Sullivan
6,12,Scott's Tots,Gene Stupnitsky
6,12,Scott's Tots,Lee Eisenberg
6,17,The Delivery (Parts 1&2),Daniel Chun
6,17,The Delivery (Parts 1&2),Charlie Grandy
6,24,The Cover,Gene Stupnitsky
6,24,The Cover,Lee Eisenberg
6,26,Whistleblower,Warren Lieberstein
6,26,Whistleblower,Halsted Sullivan
7,10,China,Halsted Sullivan
7,10,China,Warren Lieberstein
8,16,After Hours,Halsted Sullivan
8,16,After Hours,Warren Lieberstein
8,23,Turf War,Warren Lieberstein
8,23,Turf War,Halsted Sullivan
9,3,Andy's Ancestry,Jonathan Green
9,3,Andy's Ancestry,Gabe Miller
9,12,Customer Loyalty,Jonathan Green
9,12,Customer Loyalty,Gabe Miller
9,20,Paper Airplane,Halsted Sullivan
9,20,Paper Airplane,Warren Lieberstein
