season,week,game_type,quarter,quarter_type,home_team,home_full_name,home_division,home_conference,away_team,away_full_name,away_division,away_conference,home_team_score,away_team_score
2018,2,Regular season,1,Regulation,ATL,Atlanta Falcons,South,NFC,CAR,Carolina Panthers,South,NFC,3,3
2018,2,Regular season,2,Regulation,ATL,Atlanta Falcons,South,NFC,CAR,Carolina Panthers,South,NFC,17,10
2018,2,Regular season,3,Regulation,ATL,Atlanta Falcons,South,NFC,CAR,Carolina Panthers,South,NFC,24,10
2018,2,Regular season,4,Regulation,ATL,Atlanta Falcons,South,NFC,CAR,Carolina Panthers,South,NFC,31,24
2018,2,Regular season,1,Regulation,NO,New Orleans Saints,South,NFC,CLE,Cleveland Browns,North,AFC,3,3
2018,2,Regular season,2,Regulation,NO,New Orleans Saints,South,NFC,CLE,Cleveland Browns,North,AFC,3,6
2018,2,Regular season,3,Regulation,NO,New Orleans Saints,South,NFC,CLE,Cleveland Browns,North,AFC,3,12
2018,2,Regular season,4,Regulation,NO,New Orleans Saints,South,NFC,CLE,Cleveland Browns,North,AFC,21,18
2018,2,Regular season,1,Regulation,SF,San Francisco 49ers,West,NFC,DET,Detroit Lions,North,NFC,3,7
2018,2,Regular season,2,Regulation,SF,San Francisco 49ers,West,NFC,DET,Detroit Lions,North,NFC,13,10
2018,2,Regular season,3,Regulation,SF,San Francisco 49ers,West,NFC,DET,Detroit Lions,North,NFC,27,13
2018,2,Regular season,4,Regulation,SF,San Francisco 49ers,West,NFC,DET,Detroit Lions,North,NFC,30,27
2018,2,Regular season,1,Regulation,TEN,Tennesse Titans,South,AFC,HOU,Houston Texans,South,AFC,14,0
2018,2,Regular season,2,Regulation,TEN,Tennesse Titans,South,AFC,HOU,Houston Texans,South,AFC,14,7
2018,2,Regular season,3,Regulation,TEN,Tennesse Titans,South,AFC,HOU,Houston Texans,South,AFC,14,10
2018,2,Regular season,4,Regulation,TEN,Tennesse Titans,South,AFC,HOU,Houston Texans,South,AFC,20,17
2018,2,Regular season,1,Regulation,WAS,Washington Commanders,East,NFC,IND,Indianapolis Colts,South,AFC,0,7
2018,2,Regular season,2,Regulation,WAS,Washington Commanders,East,NFC,IND,Indianapolis Colts,South,AFC,3,14
2018,2,Regular season,3,Regulation,WAS,Washington Commanders,East,NFC,IND,Indianapolis Colts,South,AFC,6,14
2018,2,Regular season,4,Regulation,WAS,Washington Commanders,East,NFC,IND,Indianapolis Colts,South,AFC,9,21
2018,2,Regular season,1,Regulation,PIT,Pittsburgh Steelers,North,AFC,KC,Kansas City Chiefs,West,AFC,0,21
2018,2,Regular season,2,Regulation,PIT,Pittsburgh Steelers,North,AFC,KC,Kansas City Chiefs,West,AFC,21,21
2018,2,Regular season,3,Regulation,PIT,Pittsburgh Steelers,North,AFC,KC,Kansas City Chiefs,West,AFC,28,35
2018,2,Regular season,4,Regulation,PIT,Pittsburgh Steelers,North,AFC,KC,Kansas City Chiefs,West,AFC,37,42
2018,2,Regular season,1,Regulation,BUF,Buffalo Bills,East,AFC,LAC,Los Angeles Chargers,West,AFC,0,14
2018,2,Regular season,2,Regulation,BUF,Buffalo Bills,East,AFC,LAC,Los Angeles Chargers,West,AFC,6,28
2018,2,Regular season,3,Regulation,BUF,Buffalo Bills,East,AFC,LAC,Los Angeles Chargers,West,AFC,13,28
2018,2,Regular season,4,Regulation,BUF,Buffalo Bills,East,AFC,LAC,Los Angeles Chargers,West,AFC,20,31
2018,2,Regular season,1,Regulation,NYJ,New York Jets,East,AFC,MIA,Miami Dolphins,East,AFC,0,7
2018,2,Regular season,2,Regulation,NYJ,New York Jets,East,AFC,MIA,Miami Dolphins,East,AFC,0,20
2018,2,Regular season,3,Regulation,NYJ,New York Jets,East,AFC,MIA,Miami Dolphins,East,AFC,6,20
2018,2,Regular season,4,Regulation,NYJ,New York Jets,East,AFC,MIA,Miami Dolphins,East,AFC,12,20
2018,2,Regular season,1,Regulation,GB,Green Bay Packers,North,NFC,MIN,Minnesota Vikings,North,NFC,7,7
2018,2,Regular season,2,Regulation,GB,Green Bay Packers,North,NFC,MIN,Minnesota Vikings,North,NFC,17,7
